text,label
"The refund was processed faster than I expected, thank you.",positive
"I have received the replacement and it works perfectly now.",positive
"Your agent was incredibly patient and solved everything.",positive
"I'm so relieved this billing error was corrected promptly.",positive
"The delivery arrived early and in perfect condition.",positive
"Thanks for the clear instructions, I got my app working.",positive
"Excellent service, my subscription issue was fixed in minutes.",positive
"The support team went above and beyond my expectations.",positive
"My account access was restored quickly after the call.",positive
"I appreciate the proactive update on my service ticket.",positive
"The technical guide you provided resolved my problem completely.",positive
"Very happy with how the complaint was handled.",positive
"The credit was applied to my account immediately, thank you.",positive
"Your representative was knowledgeable and very courteous.",positive
"The problem is fully resolved and I'm satisfied with the outcome.",positive
"I've finally received the correct item after the mix-up.",positive
"The wait time was short and the agent was fantastic.",positive
"My order was corrected and I received a discount for the trouble.",positive
"Everything is working as it should now, I'm grateful.",positive
"The follow-up email confirming the fix was a nice touch.",positive
"I am waiting to hear back about the escalation.",negative
"The agent said they would call me back within an hour.",negative
"My request is still pending approval from the finance team.",negative
"I was told the update would be applied in 24-48 hours.",negative
"The ticket has been created and assigned to a specialist.",negative
"They are checking the logs to see what caused the error.",negative
"I have submitted the required documents for verification.",negative
"The replacement part has been ordered but not yet shipped.",negative
"We are currently reviewing the footage from the delivery.",negative
"The system shows the refund as initiated but not completed.",negative
"I'm on hold waiting to speak to a supervisor.",negative
"The case is with our escalation department for further review.",negative
"Your feedback has been logged for the product team.",negative
"I've followed the steps but haven't seen a change yet.",negative
"The partial credit was issued, and I'm awaiting the remainder.",negative
"The delivery is scheduled, but I haven't received a tracking number.",negative
"The issue is intermittent, so it's hard to reproduce.",negative
"I'm still deciding if I want to proceed with the warranty claim.",negative
"They offered a discount, but I need to check my bill first.",negative
"The agent provided some steps, and I will try them later.",negative
"The problem was partially fixed, but a minor glitch remains.",negative
"I have not yet received the confirmation email you mentioned.",negative
"The status page indicates maintenance is in progress.",negative
"We are awaiting stock for the item you requested.",negative
"My case is in a queue for the next available agent.",negative
"The investigation into the overcharge is ongoing.",negative
"I need to verify some details on my account before proceeding.",negative
"The new feature was enabled, but I haven't tested it fully.",negative
"The courier has picked up the return package.",negative
"The payment method was updated, though the old one still shows.",negative
"I have been on hold for over forty-five minutes now.",negative
"The refund was promised last week and still isn't here.",negative
"This is the third time I've called about the same problem.",negative
"The agent was unable to resolve my billing discrepancy.",negative
"I am disappointed with the lack of progress on my case.",negative
"The product stopped working again after the so-called fix.",negative
